nome_da_imagem,caminho_da_imagem,coordenadas_poligonos,descricao_imagem
2022_03_21_11_02_58_05.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_05.bmp,[],"Imagem microscópica em escala de cinza mostrando diversas células, possivelmente leveduras, em diferentes focos. A imagem possui um fundo relativamente uniforme e as células parecem estar dispersas."
2022_03_21_11_02_58_14.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_14.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente leveduras ou bactérias, com diferentes graus de foco. A imagem apresenta um fundo relativamente limpo com algumas pequenas partículas e detritos."
2022_03_21_11_02_58_22.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_22.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente leveduras, com diferentes graus de foco. A imagem apresenta um fundo relativamente limpo."
2022_03_21_11_02_58_31.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_31.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente hemácias, com foco variável. Algumas células aparecem ligeiramente fora de foco."
2022_03_21_11_02_58_39.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_39.bmp,ERRO,Expecting value: line 1 column 1 (char 0)
2022_03_21_11_02_58_47.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_47.bmp,[],"Imagem microscópica em escala de cinza mostrando pequenas células circulares, possivelmente leveduras ou bactérias, em diferentes níveis de foco. A qualidade da imagem é razoável, mas algumas células estão desfocadas."
2022_03_21_11_02_58_56.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_56.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente leveduras, com diferentes graus de foco. A imagem apresenta um fundo relativamente uniforme e vários objetos circulares de tamanhos variados, sugestivos de células individuais ou aglomerados."
2022_03_21_11_02_58_64.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_64.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente em suspensão, com diferentes níveis de foco. A imagem apresenta um fundo relativamente uniforme e as células parecem ser circulares ou ovais."
2022_03_21_11_02_58_72.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_72.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente hemácias, com diferentes níveis de foco. A imagem apresenta um fundo relativamente uniforme e as células parecem ser circulares ou ovais."
2022_03_21_11_02_58_89.bmp,C:\Users\sthem\OneDrive\Documentos\GitHub\master-2025\7-gemini\train\2022_03_21_11_02_58_89.bmp,[],"Imagem microscópica em escala de cinza de células, possivelmente leveduras ou bactérias, em diferentes níveis de foco. A imagem apresenta alguns artefatos e detritos."
